bkgut3,1
bl,1
bla,30
black,98
black!,1
black?,1
blacklivesmatter,1
blacksoulsailor,1
blacktwitter,1
blackvoices,3
blah,3
blainejo,1
blake,1
blame,28
blamed,7
blaming,4
blanche,2
blanket,6
blankmw,1
blaskeylarry,7
blasphemy,1
blast,27
blasting,29
blata,1
blatant,13
blatantly,1
blazingxmexican,4
bleach,3
bleedingevol235,1
bless,15
blessed,3
_blessed07_,1
blessing,1
blesspres45,2
blew,2
blight,1
blind,5
blindly,1
blink,1
blip,1
blithering,1
blm,4
bloatedpotus,1
bloc,1
block,21
blocked,77
'blocked,1
blocked!!,1
blocking,28
blog,2
blogger,1
blondenfun1,1
blood,5
bloody,3
bloom,3
blot,1
blow,11
blowjob,1
blue,16
blue_,1
bluecheckmark,1
blue-collar,1
bluecrush2018,1
bluehenart,1
bluehumanity,3
bluesea1964,10
bluewave,1
bluewave2018,6
bluewavefail,1
blunder,2
bluster,1
bluth,1
blvd,2
bmacdsst,1
bmangh,1
bn,1
bo,1
board,36
boast,1
boasted,5
boasting,1
bob,37
bob16066,1
bobbywa39971561,1
bobcesca_go,12
bobgoodlatte6,1
bobjcarr,6
bobndc,1
bocavista2016,14
body,12
boeing,3
boer_warrior,1
bogus,17
bois,1
bol,1
bold,1
boldness,2
bollywood,1
bolstered,3
bolt,1
bolton,37
boltonwho,1
bolts6629,1
bomb,4
bombing,4
bombshell,10
bonanza,1
bond,6
bondage,40
bone,10
bonehead,1
boneknightmare,1
bonus,4
boo,3
book,34
